the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.882567150243 42.958078504124, -78.882550219367 42.957558487107))",3611,477773878,,,,,Unnamed Street,,12,A41,5,25,14216,14216,57.834388558422233
"MULTILINESTRING ((-78.824202144703 42.954729442238, -78.8241941631 42.954794445999, -78.824323114532 42.955300462117))",2404,484723145,2,20,,,Larchmont Road,,12,A45,5,25,14214,14214,64.492692176491332
"MULTILINESTRING ((-78.812885147616 42.937336494791, -78.81271818402 42.937460463236, -78.812640086717 42.937507456618, -78.811783192444 42.937849455114, -78.811180097713 42.93810447268))",1838,477778621,2,56,1,65,Bickford Avenue,,12,A41,5,25,14215,14215,164.1360903376021
"MULTILINESTRING ((-78.832744103931 42.872756488669, -78.832358177048 42.873300469572))",11018,477796809,312,330,313,331,Babcock Street,,12,A41,5,25,14210,14210,68.218463776712582
"MULTILINESTRING ((-78.814095601926 42.958168358924, -78.814035488611 42.958173741237, -78.813933197924 42.958169474322))",2290,477773722,,,,,Clement Road,,12,A41,5,25,14226,14226,13.311835280324466
"MULTILINESTRING ((-78.848069130101 42.915470481824, -78.845256156559 42.915434498542, -78.843685108751 42.91543052293))",5429,477785344,112,298,111,299,Goulding Avenue,,12,A40,5,25,14208,14208,358.29349401176989
"MULTILINESTRING ((-78.872877139352 42.876817432938, -78.872651156092 42.87677844925, -78.872431149612 42.876768434792, -78.872215166618 42.876789436586, -78.87207314964 42.876824499565, -78.871944193432 42.876880458877))",10185,477795840,,,,,Ramp,,06,A63,2,45,14204,14204,79.313582723462702
"MULTILINESTRING ((-78.867465096697 42.906754496529, -78.86929316039 42.906733509234, -78.869585158146 42.906735509825))",8254,477787578,2,60,1,57,Barker Street,,12,A41,5,25,14209,14209,173.29551476022695
"MULTILINESTRING ((-78.877443068677 42.930148028422, -78.876998179598 42.930145436195))",4937,600057686,,,,,Unnamed Street,,14,A41,6,15,14222,14222,36.349097815445297
"MULTILINESTRING ((-78.811352096046 42.862421482122, -78.811707135605 42.862665443627, -78.812302189097 42.863038438737))",624,477799109,122,198,121,199,Pawnee Parkway,,12,A41,5,25,14210,14210,103.6738959449554
"MULTILINESTRING ((-78.82215914397 42.868918432485, -78.822467177726 42.869014468453, -78.822654112686 42.869046484168, -78.822779093224 42.86905644107, -78.823021097563 42.869062484586, -78.823252129887 42.869043503826, -78.823509152657 42.868999433162, -78.823958144299 42.868904462283))",11084,477797802,2,42,1,41,Buffalo China Road,,12,A41,5,25,14210,14210,151.93951056767591
"MULTILINESTRING ((-78.87237621509 42.938677443635, -78.872368151004 42.939146449108))",4657,477778371,328,340,,,Lincoln Parkway,,12,A45,4,25,14216,14216,52.149853307147119
"MULTILINESTRING ((-78.853966208601 42.894057476036, -78.854602181515 42.894054490836, -78.854640091087 42.89406347681, -78.854691205555 42.894105511433, -78.85572019248 42.895463508249))",6838,477791185,2,98,1,99,Davis Street,,12,A40,5,25,14204,14204,234.35034601913463
"MULTILINESTRING ((-78.848401091986 42.900159433582, -78.848332146739 42.900159503704))",6879,477789454,546,546,551,551,High Street,,12,A31,4,35,14211,14211,5.635547888187308
"MULTILINESTRING ((-78.827698185604 42.884895440659, -78.827012097896 42.884886447216, -78.826359133503 42.884878501884, -78.825583184823 42.884883492132, -78.824156097454 42.884872444693))",6548,477793554,1164,1268,1165,1261,William Street,,12,A31,4,35,14206,14206,289.62079239938879
"MULTILINESTRING ((-78.885628108976 42.906897456566, -78.884498128565 42.907474464115))",8344,477787547,424,456,425,453,Connecticut Street,,12,A31,4,35,14213,14213,112.45123743169263
"MULTILINESTRING ((-78.801129149367 42.8774024718, -78.801060182083 42.877471483036, -78.800961155632 42.877537441913, -78.800784092091 42.877608516211, -78.800668159187 42.877630468087, -78.8005500822 42.877637454775, -78.800388109309 42.877619429379, -78.80023016964 42.877565434551, -78.800150095881 42.877519475727, -78.800016080878 42.877416514991, -78.799969179432 42.877364501322, -78.799883079448 42.877228434471, -78.799853132889 42.877159470284))",820,516218790,,,,,Ramp,,06,A63,4,45,14206,14206,139.87549504744243
"MULTILINESTRING ((-78.871484107517 42.891267452468, -78.870280112042 42.891043512406))",7824,477792151,2,98,1,99,Saint Michaels Place,,12,A41,5,25,14203,14203,101.52985964745476
"MULTILINESTRING ((-78.863946123718 42.861355508591, -78.863903110036 42.861364435515))",9648,477799197,,,,,Childs Street,,12,A41,5,25,14203,14203,3.655475345358185
"MULTILINESTRING ((-78.868896106077 42.873557460162, -78.868716167619 42.874156446776, -78.86858709869 42.874531499063))",10213,477796636,30,74,31,73,Marvin Street,,12,A41,5,25,14204,14204,111.21712274111346
"MULTILINESTRING ((-78.800600098904 42.917901523542, -78.80015411159 42.918079498908))",1620,477784786,2244,2260,2241,2257,Genesee Street,,12,A31,4,35,14211,14211,41.468354199407578
"MULTILINESTRING ((-78.865492169572 42.912512483951, -78.864998171208 42.913943492679))",5292,477786215,1426,1498,1433,1481,Main Street,5,01,A21,3,35,14209,14209,164.14535022358916
"MULTILINESTRING ((-78.813201081155 42.859853437231, -78.812420189736 42.860458424767))",632,477799378,36,66,,,Roanoke Parkway,,12,A45,5,25,14210,14210,92.754582096912785
"MULTILINESTRING ((-78.853966121175 42.897806458094, -78.853967178222 42.898410483545))",6856,477790020,826,854,823,851,Jefferson Avenue,,12,A31,4,35,14204,14204,67.156594612740378
"MULTILINESTRING ((-78.88184914828 42.902544432042, -78.881901135149 42.902539515295))",7996,506020400,,,,,Symphony Circle,,12,A62,4,35,14201,14201,4.284320249339924
"MULTILINESTRING ((-78.842888104521 42.923427513809, -78.84273909828 42.92358648693))",5676,477783050,,,,,State Route 33,33,01,A15,2,65,14214,14214,21.462313482436745
"MULTILINESTRING ((-78.895236031333 42.890436955707, -78.895231249842 42.890436839371, -78.895226561193 42.890435894506, -78.895222107849 42.89043414982, -78.895218025123 42.890431658325, -78.895214437067 42.890428495723, -78.895211452701 42.890424758109, -78.895209162705 42.890420559048, -78.895207636658 42.890416026126, -78.895206920928 42.890411297074, -78.895207037264 42.890406515582, -78.895207982129 42.890401826934, -78.895209726815 42.89039737359, -78.89521221831 42.890393290864, -78.895215380912 42.890389702808, -78.895219118526 42.890386718442, -78.895223317588 42.890384428446, -78.895227850509 42.890382902399, -78.895232579561 42.890382186669, -78.895237361053 42.890382303005, -78.895242049702 42.89038324787, -78.895246503045 42.890384992556, -78.895250585771 42.890387484051, -78.895254173827 42.890390646653, -78.895257158193 42.890394384267, -78.89525944819 42.890398583328, -78.895260974237 42.89040311625, -78.895261689966 42.890407845302, -78.895261573631 42.890412626794, -78.895260628765 42.890417315443, -78.895258884079 42.890421768786, -78.895256392584 42.890425851512, -78.895253229982 42.890429439568, -78.895249492368 42.890432423934, -78.895245293307 42.89043471393, -78.895240760385 42.890436239977, -78.895236031333 42.890436955707))",11995,,,,,,,,,,,,,,19.151148818904929
